2020-09-01 07:35:20,699 ERROR - ORA-00904: "IMPORT_DATE_ILO": invalid identifier.
2020-09-01 07:45:20,700 ERROR - ORA-00904: "IMPORT_DATE_ILO": invalid identifier.
2020-09-01 07:55:20,701 ERROR - ORA-00904: "IMPORT_DATE_ILO": invalid identifier.
2020-09-01 08:05:20,702 ERROR - ORA-00904: "IMPORT_DATE_ILO": invalid identifier.
2020-09-01 08:15:20,703 ERROR - ORA-00904: "IMPORT_DATE_ILO": invalid identifier.
2020-09-01 08:25:20,704 ERROR - ORA-00904: "IMPORT_DATE_ILO": invalid identifier.
2020-09-01 08:35:20,707 ERROR - ORA-00904: "IMPORT_DATE_ILO": invalid identifier.
2020-09-01 08:45:20,706 ERROR - ORA-00904: "IMPORT_DATE_ILO": invalid identifier.
2020-09-01 08:55:20,707 ERROR - ORA-00904: "IMPORT_DATE_ILO": invalid identifier.
2020-09-01 09:05:20,708 ERROR - ORA-00904: "IMPORT_DATE_ILO": invalid identifier.
2020-09-01 09:15:20,709 ERROR - ORA-00904: "IMPORT_DATE_ILO": invalid identifier.
2020-09-01 09:25:20,711 ERROR - ORA-00904: "IMPORT_DATE_ILO": invalid identifier.
2020-09-01 09:35:20,711 ERROR - ORA-00904: "IMPORT_DATE_ILO": invalid identifier.
2020-09-01 09:45:20,713 ERROR - ORA-00904: "IMPORT_DATE_ILO": invalid identifier.
2020-09-01 09:55:20,714 ERROR - ORA-00904: "IMPORT_DATE_ILO": invalid identifier.
2020-09-01 10:05:20,715 ERROR - ORA-00904: "IMPORT_DATE_ILO": invalid identifier.
2020-09-01 10:15:20,716 ERROR - ORA-00904: "IMPORT_DATE_ILO": invalid identifier.
2020-09-01 10:25:20,717 ERROR - ORA-00904: "IMPORT_DATE_ILO": invalid identifier.
2020-09-01 10:35:20,719 ERROR - ORA-00904: "IMPORT_DATE_ILO": invalid identifier.
2020-09-01 10:45:20,720 ERROR - ORA-00904: "IMPORT_DATE_ILO": invalid identifier.
2020-09-01 10:55:20,720 ERROR - ORA-00904: "IMPORT_DATE_ILO": invalid identifier.
2020-09-01 11:05:20,722 ERROR - ORA-00904: "IMPORT_DATE_ILO": invalid identifier.
2020-09-01 11:15:20,724 ERROR - ORA-00904: "IMPORT_DATE_ILO": invalid identifier.
2020-09-01 11:25:20,723 ERROR - ORA-00904: "IMPORT_DATE_ILO": invalid identifier.
2020-09-01 11:35:20,725 ERROR - ORA-00904: "IMPORT_DATE_ILO": invalid identifier.
2020-09-01 11:45:20,726 ERROR - ORA-00904: "IMPORT_DATE_ILO": invalid identifier.
2020-09-01 11:55:20,727 ERROR - ORA-00904: "IMPORT_DATE_ILO": invalid identifier.
2020-09-01 12:05:20,728 ERROR - ORA-00904: "IMPORT_DATE_ILO": invalid identifier.
2020-09-01 12:15:20,729 ERROR - ORA-00904: "IMPORT_DATE_ILO": invalid identifier.
2020-09-01 12:25:20,730 ERROR - ORA-00904: "IMPORT_DATE_ILO": invalid identifier.
2020-09-01 12:35:20,731 ERROR - ORA-00904: "IMPORT_DATE_ILO": invalid identifier.
2020-09-01 12:45:20,732 ERROR - ORA-00904: "IMPORT_DATE_ILO": invalid identifier.
2020-09-01 12:55:20,733 ERROR - ORA-00904: "IMPORT_DATE_ILO": invalid identifier.
2020-09-01 12:58:01,741 INFO - Receiving data: {"data":{"links":{"self":{"href":"doc-fms-dev-01.dev.telensa.uk.net:8666/api/faults/5f03076b85b4b9000189152f"}},"type":"fault","id":"5f03076b85b4b9000189152f","attributes":{"assetId":"A192","externalAssetId":"A7","elementId":"7","time":"2019-09-12T10:56:15.000Z","name":"MISSINGDATA","sourceApplication":"planet","addedProperties":{"nlcId":2844202,"outstationId":11,"faultId":16597},"additionalData":{"nlcInfo":{"rssi":-92,"baseIdent":2,"baseDescription":"Base2","location":{"latitude":32.08372,"longitude":-81.101798}},"assetInfo":{"assetField2":"unit number","assetField4":"additional info","assetField5":"assetField5","assetField6":"assetField6","customer":"GP","operator":"System Administrator","assetField7":"GP633723748","location":{"assetLatitude":32.083722,"assetLongitude":-81.101798},"assetField1":"Locksters Lane","assetField3":"Clifford"},"accountInfo":{"energyAccount":"Telensa","energyField1":"E132","energyField2":"PR3424"},"lampInfo":{"lampType":"Default Lamp Type","daliLampInfo":{"manufacturer":"Eaton Cooper Lighting","partNumber":"VERD-A01-5LTD-U-T2-4N7-10K-AP-U9003","model":"Verdeon","nominalPower":64,"technology":"LED","lightOutput":5839,"cct":"4000K","distributionType":"II","colour":"Gray","voltageRange":"120-277"}},"readings":{"voltage":[{"time":"2019-09-25T13:35:42.000Z","value":2},{"time":"2019-09-25T15:35:42.000Z","value":2}],"power":[{"time":"2019-09-25T14:35:42.000Z","value":5},{"time":"2019-09-25T15:35:42.000Z","value":5}]}},"creationDate":"2020-07-06T11:13:47.000Z"}}}.
2020-09-01 12:58:01,742 INFO - Receiving fault.
2020-09-01 12:58:02,380 INFO - Processing data.
2020-09-01 12:58:02,388 INFO - Alarm id: 5f03076b85b4b9000189152f - Event: Import completed successfuly.
2020-09-01 12:58:02,409 INFO - Saving to integration log.
2020-09-01 12:58:02,426 INFO - Saving alarms.
